Newcastle United,Crystal Palace,1,2|Manchester City,AFC Bournemouth,6,6|Southampton,West Ham United,6,6|Nottingham Forest,Leicester City,6,6|Chelsea,Brighton & Hove Albion,6,6|Brentford,Liverpool,6,6|Arsenal,Manchester United,6,6|Tottenham Hotspur,Leeds United,6,6|Wolverhampton Wanderers,Aston Villa,66,6|Everton,Fulham,66,1|
Liverpool,Brentford,8,8|Leeds United,Fulham,8,8|Tottenham Hotspur,Brighton & Hove Albion,8,88|Chelsea,Southampton,8,88|Arsenal,Everton,8,8|West Ham United,Wolverhampton Wanderers,8,8|AFC Bournemouth,Leicester City,8,8|Manchester City,Newcastle United,8,8|Aston Villa,Manchester United,8,8|Crystal Palace,Nottingham Forest,8,8|
Chelsea,Aston Villa,9,9|Wolverhampton Wanderers,AFC Bournemouth,9,9|Everton,Leicester City,9,9|Nottingham Forest,Southampton,9,9|West Ham United,Tottenham Hotspur,9,9|Brighton & Hove Albion,Leeds United,9,9|Manchester City,Arsenal,9,9|Crystal Palace,Fulham,9,9|Brentford,Newcastle United,9,9|Liverpool,Manchester United,9,9|
Everton,Crystal Palace,1,9|Manchester City,Newcastle United,9,9|Chelsea,Liverpool,9,9|West Ham United,AFC Bournemouth,9,9|Tottenham Hotspur,Southampton,9,9|Nottingham Forest,Arsenal,9,9|Brighton & Hove Albion,Aston Villa,9,9|Wolverhampton Wanderers,Leicester City,9,3|Brentford,Leeds United,9,9|Manchester United,Fulham,9,9|
Brighton & Hove Albion,Brentford,8,8|Liverpool,Aston Villa,8,8|Fulham,Everton,8,8|Leeds United,Leicester City,8,8|Manchester City,Southampton,8,8|Newcastle United,West Ham United,8,8|Chelsea,Nottingham Forest,3,8|Crystal Palace,AFC Bournemouth,8,8|Arsenal,Manchester United,8,8|Wolverhampton Wanderers,Tottenham Hotspur,3,8|
Newcastle United,Manchester United,9,8|Fulham,Brighton & Hove Albion,8,8|Leeds United,Arsenal,8,8|Aston Villa,Tottenham Hotspur,8,8|Crystal Palace,Manchester City,8,8|Nottingham Forest,Leicester City,4,8|AFC Bournemouth,Wolverhampton Wanderers,8,8|Chelsea,Southampton,8,8|West Ham United,Liverpool,8,8|Everton,Brentford,8,8|
Aston Villa,Manchester United,9,9|Tottenham Hotspur,Newcastle United,9,9|Arsenal,Nottingham Forest,9,99|Everton,Manchester City,2,9|West Ham United,Crystal Palace,9,99|Chelsea,Brighton & Hove Albion,9,9|Fulham,AFC Bournemouth,9,9|Liverpool,Wolverhampton Wanderers,9,9|Brentford,Southampton,9,9|Leeds United,Leicester City,9,9|
Leeds United,Everton,9,9|Brighton & Hove Albion,Leicester City,9,9|Arsenal,Aston Villa,97,7|Fulham,AFC Bournemouth,7,7|Nottingham Forest,Crystal Palace,7,7|Brentford,Tottenham Hotspur,7,7|Liverpool,Southampton,7,7|Manchester City,Newcastle United,7,7|Manchester United,Wolverhampton Wanderers,7,7|West Ham United,Chelsea,7,7|
Manchester City,Liverpool,6,6|Tottenham Hotspur,Arsenal,6,6|Newcastle United,Everton,6,1|Wolverhampton Wanderers,Manchester United,6,6|Crystal Palace,Nottingham Forest,6,6|Aston Villa,West Ham United,6,6|Chelsea,Southampton,6,6|Brighton & Hove Albion,Brentford,6,1|AFC Bournemouth,Fulham,6,6|Leeds United,Leicester City,6,6|
Everton,Tottenham Hotspur,7,7|West Ham United,Aston Villa,7,7|Fulham,Brentford,7,7|Leeds United,Chelsea,7,7|Leicester City,AFC Bournemouth,7,7|Manchester United,Manchester City,7,7|Crystal Palace,Wolverhampton Wanderers,7,7|Southampton,Brighton & Hove Albion,7,7|Liverpool,Newcastle United,7,7|Nottingham Forest,Arsenal,3,7|
Brentford,Everton,7,7|Aston Villa,Brighton & Hove Albion,7,7|AFC Bournemouth,Arsenal,7,7|Manchester City,Newcastle United,7,7|Leicester City,Wolverhampton Wanderers,7,7|Leeds United,Chelsea,1,77|Nottingham Forest,Liverpool,7,7|Manchester United,Tottenham Hotspur,7,7|Fulham,Crystal Palace,7,1|Southampton,West Ham United,77,1|
