Crystal Palace,Arsenal,2,1|Fulham,Liverpool,6,1|AFC Bournemouth,Aston Villa,6,6|Newcastle United,Nottingham Forest,6,6|Tottenham Hotspur,Southampton,6,6|Leeds United,Wolverhampton Wanderers,6,1|Everton,Chelsea,1,6|Leicester City,Brentford,9,1|Manchester United,Brighton & Hove Albion,6,0|West Ham United,Manchester City,1,7|
Aston Villa,Everton,8,8|Southampton,Leeds United,1,8|Arsenal,Leicester City,8,1|Brighton & Hove Albion,Newcastle United,8,1|Manchester City,AFC Bournemouth,8,8|Wolverhampton Wanderers,Fulham,1,7|Brentford,Manchester United,8,8|Nottingham Forest,West Ham United,8,0|Chelsea,Tottenham Hotspur,1,8|Liverpool,Crystal Palace,2,1|
Tottenham Hotspur,Wolverhampton Wanderers,1,1|Everton,Nottingham Forest,9,9|Leicester City,Southampton,9,9|Fulham,Brentford,9,9|Crystal Palace,Aston Villa,9,9|AFC Bournemouth,Arsenal,9,1|West Ham United,Brighton & Hove Albion,9,9|Leeds United,Chelsea,9,1|Newcastle United,Manchester City,1,9|Manchester United,Liverpool,0,9|
Southampton,Manchester United,1,9|Chelsea,Leicester City,0,1|Brighton & Hove Albion,Leeds United,9,9|Manchester City,Crystal Palace,9,9|Liverpool,AFC Bournemouth,9,9|Brentford,Everton,9,9|Arsenal,Fulham,9,9|Wolverhampton Wanderers,Newcastle United,9,3|Aston Villa,West Ham United,9,9|Nottingham Forest,Tottenham Hotspur,9,1|
Crystal Palace,Brentford,8,8|Fulham,Brighton & Hove Albion,8,8|Southampton,Chelsea,8,8|Leeds United,Everton,8,8|AFC Bournemouth,Wolverhampton Wanderers,2,1|Manchester City,Nottingham Forest,1,1|Arsenal,Aston Villa,3,8|West Ham United,Tottenham Hotspur,8,8|Liverpool,Newcastle United,1,8|Leicester City,Manchester United,3,8|
Everton,Liverpool,9,8|Tottenham Hotspur,Fulham,8,8|Nottingham Forest,AFC Bournemouth,8,8|Chelsea,West Ham United,8,8|Brentford,Leeds United,0,1|Wolverhampton Wanderers,Southampton,4,8|Newcastle United,Crystal Palace,8,8|Aston Villa,Manchester City,8,8|Brighton & Hove Albion,Leicester City,8,8|Manchester United,Arsenal,8,1|
Fulham,Chelsea,9,9|Crystal Palace,Manchester United,1,9|Manchester City,Tottenham Hotspur,9,2|Arsenal,Everton,2,9|Liverpool,Wolverhampton Wanderers,9,2|Southampton,Brentford,9,9|Leeds United,Nottingham Forest,9,9|AFC Bournemouth,Brighton & Hove Albion,9,9|Leicester City,Aston Villa,9,1|West Ham United,Newcastle United,9,9|
Aston Villa,Southampton,9,9|Nottingham Forest,Fulham,9,9|Wolverhampton Wanderers,Manchester City,1,7|Newcastle United,AFC Bournemouth,7,7|Tottenham Hotspur,Leicester City,7,7|Brentford,Arsenal,7,7|Everton,West Ham United,7,7|Manchester United,Leeds United,6,1|Brighton & Hove Albion,Crystal Palace,7,7|Chelsea,Liverpool,7,0|
Arsenal,Tottenham Hotspur,6,6|Liverpool,Brighton & Hove Albion,6,6|Fulham,Newcastle United,6,1|Southampton,Everton,1,2|Crystal Palace,Chelsea,6,6|AFC Bournemouth,Brentford,6,6|West Ham United,Wolverhampton Wanderers,6,6|Manchester City,Manchester United,6,1|Leeds United,Aston Villa,6,6|Leicester City,Nottingham Forest,6,6|
Newcastle United,Brentford,7,7|AFC Bournemouth,Leicester City,7,7|Manchester City,Southampton,9,7|Chelsea,Wolverhampton Wanderers,7,7|Brighton & Hove Albion,Tottenham Hotspur,7,7|West Ham United,Fulham,7,0|Crystal Palace,Leeds United,7,7|Arsenal,Liverpool,7,7|Everton,Manchester United,1,7|Nottingham Forest,Aston Villa,3,7|
